position,player_name
1,Justin Sajich
2,Kurt Dunham
3,Temujin Dixon
4,Jeremy McGuire
6,Dave Lee
6,Dave Rothall
8,Neal Kelly
8,Travis Martin
12,Paul Pike
12,Troy Rudling
12,Ethan Brown
12,Joe Watkins
16,Aidan Stafford
16,Justin Thursby
16,Duncan Bronte
16,Steve Halliday
24,Kerry Davies
24,Shayden Brown
24,Tony Quach
24,Max Rudd
24,Kylie Bellinger
24,Jolse Maginnis
24,Stephen Kaine
24,Sonny Rangiaho
32,Tayla Cluney
32,Scott Frankcombe
32,Joe Cairns
32,Shaun Bartles
32,Laurence Roque
32,Kris Cherry
32,Graeme Stoneman
32,Derek Patmore
